Date,Price,Open,High,Low,Vol.,Change %
"Jun 27, 2018",6155,"6,081.10","6,187.30","6,025.40",133.42K,1.20%
"Jun 26, 2018",6082,"6,256.90","6,267.70","6,060.00",176.66K,-2.79%
"Jun 25, 2018",6257,"6,155.10","6,331.20","6,101.70",210.69K,1.66%
"Jun 24, 2018",6155,"6,167.90","6,248.30","5,785.30",240.60K,-0.21%
"Jun 23, 2018",6167,"6,055.20","6,259.00","6,032.80",142.90K,1.84%
"Jun 22, 2018",6056,"6,728.20","6,739.70","5,955.00",278.22K,-9.99%
"Jun 21, 2018",6728,"6,765.80","6,797.50","6,695.10",99.29K,-0.55%
"Jun 20, 2018",6765,"6,752.30","6,812.70","6,575.10",121.48K,0.19%
"Jun 19, 2018",6752,"6,719.80","6,839.50","6,681.50",120.54K,0.49%
"Jun 18, 2018",6720,"6,460.50","6,794.50","6,410.90",135.70K,4.02%
"Jun 17, 2018",6460,"6,505.80","6,593.00","6,452.10",90.67K,-0.70%
"Jun 16, 2018",6506,"6,410.00","6,564.20","6,358.00",108.79K,1.49%
"Jun 15, 2018",6410,"6,647.30","6,655.80","6,395.70",143.53K,-3.56%
"Jun 14, 2018",6647,"6,312.30","6,711.50","6,283.60",201.54K,5.30%
"Jun 13, 2018",6312,"6,558.50","6,624.60","6,129.10",237.48K,-3.75%
"Jun 12, 2018",6558,"6,885.90","6,887.20","6,476.00",178.26K,-4.76%
"Jun 11, 2018",6886,"6,775.20","6,910.80","6,657.20",174.88K,1.64%
"Jun 10, 2018",6775,"7,515.80","7,516.30","6,668.10",275.69K,-9.85%
"Jun 09, 2018",7516,"7,622.10","7,689.00","7,493.30",97.56K,-1.40%
"Jun 08, 2018",7622,"7,697.90","7,710.50","7,556.90",112.88K,-0.98%
"Jun 07, 2018",7698,"7,661.00","7,754.70","7,657.70",124.00K,0.48%
"Jun 06, 2018",7661,"7,631.50","7,699.10","7,504.40",130.66K,0.39%
"Jun 05, 2018",7632,"7,507.40","7,672.60","7,391.00",145.23K,1.69%
"Jun 04, 2018",7504,"7,729.30","7,759.90","7,468.40",141.01K,-2.91%
"Jun 03, 2018",7729,"7,646.60","7,775.00","7,611.30",116.68K,1.08%
"Jun 02, 2018",7647,"7,530.80","7,694.50","7,467.90",121.18K,1.54%
"Jun 01, 2018",7531,"7,502.50","7,610.40","7,375.80",135.92K,0.38%
"May 31, 2018",7503,"7,400.80","7,611.90","7,355.00",144.52K,1.39%
"May 30, 2018",7400,"7,469.20","7,565.20","7,306.80",140.37K,-0.91%
"May 29, 2018",7468,"7,119.30","7,533.00","7,069.80",186.97K,4.89%
"May 28, 2018",7119,"7,367.30","7,446.90","7,090.60",152.29K,-3.36%
"May 27, 2018",7367,"7,361.90","7,411.80","7,267.50",103.29K,0.07%
"May 26, 2018",7361,"7,478.50","7,619.30","7,331.50",103.07K,-1.56%
"May 25, 2018",7478,"7,593.90","7,653.40","7,355.60",161.82K,-1.52%
"May 24, 2018",7593,"7,512.30","7,736.60","7,293.40",211.11K,1.07%
"May 23, 2018",7512,"8,005.70","8,047.40","7,467.60",237.60K,-6.17%
"May 22, 2018",8006,"8,403.80","8,414.50","7,979.30",137.51K,-4.73%
"May 21, 2018",8403,"8,529.50","8,550.60","8,375.50",115.52K,-1.47%
"May 20, 2018",8529,"8,243.90","8,580.40","8,184.70",113.76K,3.44%
"May 19, 2018",8245,"8,244.70","8,389.10","8,153.20",107.89K,-0.01%
"May 18, 2018",8246,"8,064.40","8,273.60","7,939.80",150.32K,2.27%
"May 17, 2018",8063,"8,344.60","8,458.70","8,022.30",154.36K,-3.37%
"May 16, 2018",8344,"8,477.00","8,496.40","8,120.10",188.03K,-1.56%
"May 15, 2018",8477,"8,674.00","8,842.10","8,436.50",179.62K,-2.27%
"May 14, 2018",8674,"8,693.40","8,878.30","8,305.10",212.05K,-0.22%
"May 13, 2018",8694,"8,489.10","8,758.40","8,330.00",149.80K,2.77%
"May 12, 2018",8460,"8,409.60","8,646.10","8,184.10",210.87K,0.61%
"May 11, 2018",8408,"9,026.00","9,028.70","8,359.60",270.62K,-6.84%
"May 10, 2018",9026,"9,319.20","9,393.30","9,013.40",152.71K,-3.15%
"May 09, 2018",9319,"9,194.90","9,377.90","8,988.00",147.89K,1.33%
"May 08, 2018",9196,"9,373.90","9,404.40","9,079.80",157.45K,-2.49%
"May 07, 2018",9432,"9,651.10","9,675.60","9,204.20",165.08K,-2.33%
"May 06, 2018",9656,"9,859.60","9,957.70","9,446.70",150.95K,-2.00%
"May 05, 2018",9854,"9,709.50","9,992.80","9,691.30",158.45K,1.49%
"May 04, 2018",9709,"9,747.60","9,800.90","9,549.00",161.55K,-0.42%
"May 03, 2018",9750,"9,244.20","9,809.40","9,171.40",201.18K,5.48%
"May 02, 2018",9243,"9,076.80","9,265.70","8,991.90",137.48K,1.85%
"May 01, 2018",9075,"9,245.10","9,245.10","8,851.00",173.35K,-1.84%
"Apr 30, 2018",9245,"9,415.80","9,456.70","9,135.40",156.83K,-1.80%
"Apr 29, 2018",9415,"9,352.20","9,565.10","9,182.80",184.72K,0.67%
"Apr 28, 2018",9352,"8,940.80","9,428.90","8,895.50",199.78K,4.60%
"Apr 27, 2018",8941,"9,282.80","9,386.30","8,920.20",184.91K,-3.73%
"Apr 26, 2018",9287,"8,874.50","9,303.60","8,669.80",248.39K,4.67%
"Apr 25, 2018",8873,"9,645.00","9,753.10","8,768.10",395.67K,-8.01%
"Apr 24, 2018",9645,"8,952.70","9,734.80","8,937.00",260.79K,7.73%
"Apr 23, 2018",8953,"8,809.30","9,001.00","8,785.30",147.54K,1.66%
"Apr 22, 2018",8807,"8,923.60","9,022.30","8,766.50",161.89K,-1.30%
"Apr 21, 2018",8923,"8,867.00","9,027.70","8,614.50",206.01K,0.63%
"Apr 20, 2018",8867,"8,292.30","8,926.20","8,224.50",225.96K,6.95%
"Apr 19, 2018",8291,"8,179.00","8,303.70","8,126.70",155.08K,1.37%
"Apr 18, 2018",8178,"7,908.50","8,227.60","7,895.30",163.26K,3.41%
"Apr 17, 2018",7909,"8,070.00","8,171.70","7,852.80",162.59K,-2.00%
"Apr 16, 2018",8070,"8,362.20","8,412.90","7,908.50",197.70K,-3.51%
"Apr 15, 2018",8364,"8,004.60","8,411.50","8,004.60",160.26K,4.49%
"Apr 14, 2018",8004,"7,891.10","8,180.20","7,839.30",164.71K,1.48%
"Apr 13, 2018",7887,"7,926.90","8,228.00","7,756.60",296.95K,-0.49%
"Apr 12, 2018",7927,"6,963.30","8,009.60","6,779.30",398.30K,13.85%
"Apr 11, 2018",6962,"6,855.60","6,988.60","6,818.40",142.07K,1.56%
"Apr 10, 2018",6855,"6,782.60","6,899.50","6,671.60",134.23K,1.08%
"Apr 09, 2018",6782,"7,035.70","7,192.50","6,633.20",241.19K,-3.54%
"Apr 08, 2018",7031,"6,905.90","7,113.40","6,903.90",132.51K,1.81%
"Apr 07, 2018",6906,"6,624.50","7,071.90","6,616.10",177.10K,4.25%
"Apr 06, 2018",6624,"6,783.70","6,859.70","6,523.40",174.90K,-2.33%
"Apr 05, 2018",6782,"6,808.70","6,918.20","6,592.50",221.70K,-0.40%
"Apr 04, 2018",6809,"7,423.80","7,432.90","6,726.90",239.51K,-8.29%
"Apr 03, 2018",7424,"7,067.20","7,519.30","7,032.90",230.80K,5.03%
"Apr 02, 2018",7068,"6,825.40","7,121.30","6,787.60",199.31K,3.56%
